Sample_name,Locus,Hash,nReads
1002.2,16S_Prey,875e59255c5e77ffa82a67cf04b58a5ce3f083ce,129
1002.2,16S_Prey,91554bb0ffc48b16ff754c8388597b64f28fb269,111
1002.2,16S_Prey,d19f7fd717100b34bb544bd8ae6dfa802a97057a,100
1002.2,16S_Prey,a444c9ec21c5704b9d355ab951b8f332f599fe02,90
1002.2,16S_Prey,6f0fd1c33fff5c7a4aec59d49da834a866e383c5,61
1003.1,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,5600
1003.1,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,3308
1003.1,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,100
1003.1,16S_Prey,1743f8eaf67cde48a163da36605a8901790090ac,1075
1003.1,16S_Prey,924a1afa1a137685c33261a4beba6a3c6b334e0a,73
1003.1,16S_Prey,c6256396a7603741fbabc9976651b13b03d25bd5,632
1003.1,16S_Prey,f7209bb9f761bc1940205ed9c7841bc8fe4bfd71,194
1003.1,16S_Prey,70059b142e1190db5673f39d512198ac4a05fbf2,160
1003.1,16S_Prey,ddf823d2ad1635ea98a0ef7c9cdd0201567a5c81,70
1003.2,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,72
1003.2,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,486
1003.2,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,2512
1003.2,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,31044
1003.2,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,3750
1003.2,16S_Prey,27957660a97efa9a9104bb5329b3b2fd120cf083,130
1003.2,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,2364
1003.2,16S_Prey,dcd64feee9f077095a1ec234a2c612431282481b,4709
1003.2,16S_Prey,c5c9292b1299f44d8ef53d164ecf420695e5f686,4388
1003.2,16S_Prey,78bc87be1cb86ffd6ebb028518571db3bade8e4c,1414
1003.2,16S_Prey,e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,172
1003.2,16S_Prey,9c9a29499030c39f474ca37c50e7132f298e9958,479
1003.2,16S_Prey,d3056655cdf43b6d31d8ef85bd94d9fbdf3f94cd,783
1003.2,16S_Prey,5af404705630e44509109eefa4b9839242d2db0f,34
1003.2,16S_Prey,ca1ee9857ce82b01b6c5f0a12950e4da57b64ec3,3157
1003.2,16S_Prey,2a50ada14de227fb9f8e78922a7aa3ed0f53c308,103
1003.2,16S_Prey,d16946209d740efffdc258091dfdb82a577921e8,54
1003.2,16S_Prey,77eb3bad0f92b79d102243f3a1cce383b421ecc5,146
1003.2,16S_Prey,74c3d0dd79f72261d07798440938648c202da5cb,4
1003.2,16S_Prey,f666e4589943eed4c6f45745b0526e65ea13f53b,12
1003.2,16S_Prey,d4fb4fa4d6fd031f2ab158f5d4e4387ba3cf1af1,111
1003.2,16S_Prey,8da296215c6abd1b7d87b03262ff0e56838dbca8,313
1003.2,16S_Prey,5aacd1d1f03bf390fc4c8b8d8c124bd95b5aa0ee,222
1003.2,16S_Prey,16de9a11ae216e5ea9907cf49d12127907eff0a6,122
1003.2,16S_Prey,2b9eb7cd6526eec204d818faa0f97ac6b4f67d1b,91
1003.2,16S_Prey,396f63c3290df28309b39d442c5821de38bc4adc,70
1003.2,16S_Prey,7d1133de9ab573d31676c165d190e63dff38d062,41
1003.2,16S_Prey,e4e03974b68eb583b3515cc8354a3084f2d6195d,25
1003.3,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,1826
