taxon,family,genus,species,diet,morphology,habitat use,life history,diel migration,size(mm),source,new.morphotype,...13,npoints
Bathymasteridae%Ronquilus%Ronquilus jordani,Bathymasteridae,Ronquilus,Ronquilus jordani,NA,cylinder,"seafloor, shallow",ocean,NA,200,NA,"seafloor, shallow",Marine; demersal,1
Belonidae%Cololabis%Cololabis saira,Belonidae,Cololabis,Cololabis saira,krill,long,surface-subsurface,ocean,none,300,https://doi.org/10.1111/j.1365-2419.2004.00310.x,smelt,Marine; pelagic-oceanic,12
Belonidae%NA%NA,Belonidae,NA,NA,krill,long,surface-subsurface,ocean,none,300,NA,smelt,Marine; pelagic-oceanic,3
Carangidae%NA%NA,Carangidae,NA,NA,filter feeders,Mackerel,surface-subsurface,ocean,NA,NA,NA,smelt,Marine; pelagic-oceanic,16
Carangidae%Trachurus%NA,Carangidae,Trachurus,NA,filter feeders,Mackerel,surface-subsurface,ocean,NA,NA,NA,smelt,Marine; pelagic-oceanic,24
Carangidae%Trachurus%Trachurus symmetricus,Carangidae,Trachurus,Trachurus symmetricus,filter feeders,Mackerel,surface-subsurface,ocean,NA,550,NA,smelt,Marine; pelagic-oceanic,44
Carcharhinidae%NA%NA,Carcharhinidae,NA,NA,Fish,Shark,surface-mid,ocean,NA,4000,NA,Shark,Marine; pelagic-oceanic,2
Carcharhinidae%Prionace%Prionace glauca,Carcharhinidae,Prionace,Prionace glauca,Fish,Shark,surface-mid,ocean,NA,4000,NA,Shark,Marine; pelagic-oceanic,8
Centrolophidae%Icichthys%Icichthys lockingtoni,Centrolophidae,Icichthys,Icichthys lockingtoni,plankton,compressed,surface,ocean,NA,460,NA,surface-subsurface,Marine; pelagic-oceanic,8
Centrolophidae%NA%NA,Centrolophidae,NA,NA,plankton,compressed,surface,ocean,NA,460,NA,surface-subsurface,Marine; pelagic-oceanic,5
Chimaeridae%Hydrolagus%Hydrolagus colliei,Chimaeridae,Hydrolagus,Hydrolagus colliei,invertebrates,ratfish,seafloor,ocean,NA,970,NA,seafloor,Marine; demersal,8
Chimaeridae%NA%NA,Chimaeridae,NA,NA,invertebrates,ratfish,seafloor,ocean,NA,970,NA,seafloor,Marine; demersal,1
Cichlidae%NA%NA,Cichlidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Cichlidae%Oreochromis%Oreochromis niloticus x Oreochromis aureus,Cichlidae,Oreochromis,Oreochromis niloticus x Oreochromis aureus,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Clupeidae%Alosa%Alosa fallax,Clupeidae,Alosa,Alosa fallax,filter feeders,herring,surface-subsurface,anadromous,none,600,NA,smelt,Marine; freshwater; brackish; pelagic-neritic,3
Clupeidae%Alosa%NA,Clupeidae,Alosa,NA,filter feeders,herring,surface-subsurface,anadromous,none,600,NA,smelt,Marine; freshwater; brackish; pelagic-neritic,2
Clupeidae%Clupea%Clupea pallasii,Clupeidae,Clupea,Clupea pallasii,filter feeders,herring,surface-mid,ocean-estuary,NA,330,NA,smelt,Marine; freshwater; brackish; pelagic-neritic,29
Clupeidae%Clupea%NA,Clupeidae,Clupea,NA,filter feeders,herring,surface-mid,ocean-estuary,NA,330,NA,smelt,Marine; freshwater; brackish; pelagic-neritic,1
Clupeidae%Sardinops%NA,Clupeidae,Sardinops,NA,small zooplankton,sardine,surface-mid,ocean,NA,400,NA,smelt,Marine; pelagic-neritic,12
Clupeidae%Sardinops%Sardinops sagax,Clupeidae,Sardinops,Sardinops sagax,small zooplankton,sardine,surface-mid,ocean,NA,400,NA,smelt,Marine; pelagic-neritic,19
Cottidae%Artedius%Artedius fenestralis|lateralis,Cottidae,Artedius,Artedius fenestralis|lateralis,shrimp,sculpin,seafloor,NA,NA,140,NA,seafloor,Marine; demersal,3
Cottidae%Artedius%Artedius harringtoni,Cottidae,Artedius,Artedius harringtoni,NA,sculpin,seafloor,NA,NA,100,NA,seafloor,Marine; demersal,1
Cottidae%Artedius%NA,Cottidae,Artedius,NA,NA,sculpin,seafloor,NA,NA,100,NA,seafloor,Marine; demersal,1
Cottidae%Chitonotus%Chitonotus pugetensis,Cottidae,Chitonotus,Chitonotus pugetensis,NA,sculpin,seafloor,NA,NA,230,NA,seafloor,Marine; demersal,2
Cottidae%Leptocottus%Leptocottus armatus,Cottidae,Leptocottus,Leptocottus armatus,NA,sculpin,seafloor,NA,NA,450,NA,seafloor,Marine; demersal,2
Cottidae%NA%NA,Cottidae,NA,NA,NA,sculpin,seafloor,NA,NA,NA,NA,seafloor,Marine; demersal,10
Cryptacanthodidae%Cryptacanthodes%Cryptacanthodes giganteus,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,NA,Eel,seafloor,NA,NA,1150,NA,seafloor,Marine; demersal,2
Embiotocidae%Embiotoca%Embiotoca jacksoni|lateralis,Embiotocidae,Embiotoca,Embiotoca jacksoni|lateralis,invertebrates,Perch,shallow,ocean,NA,380,NA,surface-subsurface,Marine; demersal,1
Embiotocidae%NA%NA,Embiotocidae,NA,NA,invertebrates,Perch,shallow,ocean,NA,380,NA,surface-subsurface,Marine; demersal,1
Embiotocidae%Rhacochilus%Rhacochilus vacca,Embiotocidae,Rhacochilus,Rhacochilus vacca,invertebrates,Perch,surface-subsurface,ocean,NA,400,NA,surface-subsurface,Marine; demersal,1
Embiotocidae%Zalembius%Zalembius rosaceus,Embiotocidae,Zalembius,Zalembius rosaceus,NA,Perch,surface-subsurface,ocean,NA,200,NA,surface-subsurface,Marine; demersal,1
Engraulidae%Engraulis%Engraulis mordax,Engraulidae,Engraulis,Engraulis mordax,filter feeders,anchovy,surface-mid,ocean,NA,250,NA,smelt,Marine; pelagic-neritic,17
Engraulidae%NA%NA,Engraulidae,NA,NA,filter feeders,anchovy,surface-mid,ocean,NA,250,NA,smelt,Marine; pelagic-neritic,17
